name,state,pop
Trinity College,CT,2262.0
Tunxis Community College,CT,3546.0
Wesleyan University,CT,2907.0
Western Connecticut State University,CT,5206.0
Yale-New Haven Hospital Dietetic Internship,CT,
Yale University,CT,5473.0
Margaret H Rollins School of Nursing at Beebe Medical Center,DE,42.0
Dawn Career Institute Inc,DE,226.0
Delaware Technical Community College-Owens,DE,3854.0
Delaware Technical Community College-Terry,DE,2740.0
Delaware Technical Community College-Stanton/Wilmington,DE,6081.0
Delaware State University,DE,3654.0
University of Delaware,DE,18222.0
Goldey-Beacom College,DE,629.0
Schilling-Douglas School of Hair Design LLC,DE,136.0
Wesley College,DE,1431.0
Wilmington University,DE,8671.0
American University,DC,7094.0
Catholic University of America,DC,3529.0
University of the District of Columbia,DC,4253.0
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,DC,
Gallaudet University,DC,1001.0
George Washington University,DC,10433.0
Georgetown University,DC,7211.0
Howard University,DC,6961.0
Medtech Institute,VA,1371.0
Strayer University-District of Columbia,DC,774.0
National Conservatory of Dramatic Arts,DC,39.0
Trinity Washington University,DC,1665.0
Wesley Theological Seminary,DC,
Wyotech-Daytona,FL,400.0
The Art Institute of Fort Lauderdale,FL,1514.0
Atlantic Technical College,FL,2599.0
The Baptist College of Florida,FL,454.0
Barry University,FL,3913.0
Gooding Institute of Nurse Anesthesia,FL,
Bethune-Cookman University,FL,3897.0
Lynn University,FL,1911.0
GUTI The Premier Beauty & Wellness Academy,FL,80.0
Bradford-Union Technical Center,FL,121.0
Eastern Florida State College,FL,12454.0
Broward College,FL,39175.0
Fortis College-Winter Park,FL,14.0
Carlos Albizu University-Miami,FL,262.0
College of Central Florida,FL,6937.0
Johnson University Florida,FL,220.0
University of Central Florida,FL,52280.0
Charlotte Technical Center,FL,204.0
Chipola College,FL,1565.0
Clearwater Christian College,FL,409.0
Lorenzo Walker Technical College,FL,679.0
Daytona State College,FL,11815.0
South University-West Palm Beach,FL,942.0
Eckerd College,FL,2062.0
Florida SouthWestern State College,FL,12620.0
Edward Waters College,FL,927.0
Embry-Riddle Aeronautical University-Daytona Beach,FL,4954.0
Florida Agricultural and Mechanical University,FL,7995.0
Florida Atlantic University,FL,24228.0
Florida State College at Jacksonville,FL,22539.0
Flagler College-St Augustine,FL,2767.0
Florida College,FL,555.0
Concorde Career Institute-Jacksonville,FL,652.0
Concorde Career Institute-Miramar,FL,640.0
Concorde Career Institute-Tampa,FL,411.0
Adventist University of Health Sciences,FL,1870.0
Florida Institute of Technology,FL,3348.0
Florida Institute of Ultrasound Inc,FL,52.0
Florida International University,FL,39102.0
Florida Keys Community College,FL,833.0
Florida Memorial University,FL,1478.0
Florida Career College-Miami,FL,6227.0
Florida School of Massage,FL,81.0
Florida Southern College,FL,2352.0
Florida State University,FL,32432.0
Florida Technical College,FL,2977.0
University of Southernmost Florida,FL,164.0
University of Florida,FL,31879.0
Everest University-Pompano Beach,FL,1270.0
